,,,
,Núcleo,Área,Perímetro
,0,1236,117
,1,1367,134
,2,780,93
,3,552,75
,4,788,91
,5,989,104
,6,554,74
,7,802,90
,8,749,90
,9,572,79
,10,819,94
,11,712,88
,12,802,91
,13,789,91
,14,747,88
,15,740,88
,16,525,71
,17,730,88
,18,505,70
,19,514,74
,20,861,97
,21,821,93
,22,1303,122
,23,841,95
,24,759,92
,25,732,87
,26,994,105
,27,897,99
,28,793,91
,29,757,88
,30,855,95
,31,744,88
,32,651,84
,33,642,83
,34,878,98
,35,560,76
,36,752,89
,37,695,87
,38,684,85
,39,840,93
,40,604,78
,41,661,86
,42,866,99
,43,844,93
,44,688,84
,45,848,91
,46,718,85
,47,829,95
,48,689,89
,49,624,88
,50,487,71
,51,647,80
,52,798,96
,53,402,76
,54,624,87
,55,771,89
,56,517,74
,57,670,84
,58,755,89
,59,1126,148
,60,606,80
,61,816,94
,62,809,92
,63,709,91
,64,594,81
,65,810,94
,66,607,81
,67,725,93
,68,657,82
,69,644,83
,70,1261,118
,71,1203,124
,72,534,78
,73,687,85
,74,0,0
,75,684,87
,76,415,66
,77,858,99
,78,947,102
,79,595,82
,80,866,98
,81,422,66
,82,664,88
,83,377,68
,84,923,102
,85,602,80
,86,671,86
,87,969,124
,88,331,60
,89,485,70
,90,631,80
,91,1179,155
,92,396,69
,93,463,75
,94,1638,186
,95,484,70
,96,677,98
,97,670,87
,98,526,77
,99,558,78
,100,210,49
,101,744,93
,102,453,75
,103,429,72
,104,589,79
,105,702,89
,106,506,86
,107,769,93
,108,1469,131
